,Ticker,Training Data Size,Test Data Size,Accuracy,train_true,train_false,coef,intercept
207,DFAM.JK,967,241,0.7510373443983402,315,652,[ 0.23807985 -0.10468369 -0.00201634 -0.0064374  -1.46162212],-0.7361461816417263
208,DGIK.JK,967,241,0.6597510373443983,128,839,[0. 0. 0. 0. 0.],0.0
209,DGNS.JK,428,107,0.6822429906542056,162,266,[-0.05799616 -0.1896917  -0.2370348   0.00973399 -0.3902568 ],-0.5073774830715253
210,DIGI.JK,895,223,0.9506726457399103,221,674,[-0.43943654 -0.05072161 -0.03248086 -0.02737325 -1.40787844],-1.128105051310334
211,DILD.JK,967,241,0.6390041493775933,337,630,[-0.05936108  0.02849741  0.02334733  0.0078296  -0.83808938],-0.6254705255430792
212,DIVA.JK,856,213,0.5821596244131455,331,525,[ 0.14534486 -0.12974291  0.12608647  0.0070462   0.8386541 ],-0.4601786094207467
213,DKFT.JK,967,241,0.6431535269709544,341,626,[-0.20801947  0.00396563  0.05098523  0.00167123 -1.24235864],-0.6017916161775457
214,DLTA.JK,967,241,0.6182572614107884,315,652,[-0.01194557  0.04590041  0.00347656  0.01993197 -0.95621404],-0.7303383295230977
215,DMAS.JK,967,241,0.6721991701244814,378,589,"[-1.82493272e-02 -1.05537195e-02 -4.41867444e-02  8.72676980e-04
 -1.08942907e+00]",-0.43855690533662883
216,DMMX.JK,668,167,0.6287425149700598,283,385,[ 0.93133719 -0.24557139  0.00206871 -0.00802621  0.07514185],-0.3225111015863117
217,DMND.JK,618,154,0.7532467532467533,205,413,[-0.23470514 -0.03475661  0.26330074  0.00869527 -2.77796893],-0.7038454287024007
218,DNAR.JK,968,241,0.6514522821576764,295,673,[-0.14449078 -0.02460714  0.03376017  0.0187477  -0.63618424],-0.8315749502420983
219,DNET.JK,967,241,0.6639004149377593,237,730,"[-1.77651251e-01  1.54149744e-04 -9.05519342e-02 -1.08508378e-03
 -1.56431371e+00]",-1.1238614061471395
220,DOID.JK,967,241,0.5643153526970954,366,601,[-0.04221057 -0.00788277  0.04843475 -0.0022522  -1.04156879],-0.4944212687401911
221,DPNS.JK,968,241,0.6058091286307054,259,709,[-0.11218269 -0.01726782 -0.0017648  -0.03518602 -1.43712867],-1.0115211236489912
222,DPUM.JK,966,241,1.0,162,804,[-0.54563585 -0.00107623 -0.00355616  0.00325106  0.10800946],-1.6081899027404805
223,DRMA.JK,245,61,0.5081967213114754,98,147,[-0.06983863 -0.10042238 -0.13002045 -0.02216455 -0.53932309],-0.4220462372961326
224,DSFI.JK,967,241,0.6970954356846473,317,650,[-0.40474913  0.00450614  0.00538343  0.00291951 -2.22644729],-0.7152026731543849
225,DSNG.JK,967,241,0.6058091286307054,346,621,[-0.10730861  0.01246665 -0.01223429 -0.00384483 -0.1961025 ],-0.5864234138999922
226,DSSA.JK,967,241,0.8962655601659751,125,842,[0.03039464 0.02118037 0.00547792 0.00271748 0.00927229],-1.9136658209899653
227,DUCK.JK,881,220,1.0,227,654,[0.02376746 0.10012679 0.09177543 0.00149477 0.51719238],-1.0599123606852292
228,DVLA.JK,967,241,0.6846473029045643,307,660,[-0.24710547  0.01210442  0.00716343 -0.00680561 -3.12943658],-0.7751663034564444
229,DWGL.JK,967,241,0.6058091286307054,341,626,"[-2.74938908e-02  5.85581815e-04 -1.08006319e-02  8.51006476e-04
 -1.30432547e+00]",-0.6051300884935884
230,DYAN.JK,967,241,0.6390041493775933,280,687,[-0.33252989  0.03608539 -0.05401827 -0.00676125 -1.46435193],-0.891148569249062
231,EAST.JK,728,181,0.6353591160220995,241,487,[-0.02596171 -0.01206975  0.03118937 -0.05127876 -0.69593504],-0.6998928504622689
232,ECII.JK,967,241,0.8174273858921162,107,860,[-0.12366368 -0.00156503 -0.03759733  0.00527918  0.03002942],-2.0858682769573997
233,EDGE.JK,416,103,0.8349514563106796,142,274,[-0.04326727 -0.13184507  0.05175182  0.01043939 -1.36435471],-0.6682923572254701
234,EKAD.JK,968,241,0.7095435684647303,375,593,[-0.05045187 -0.00922492 -0.01898841 -0.04119155 -0.98635771],-0.4483358631102346
235,ELIT.JK,38,9,0.2222222222222222,19,19,[-0.02286721 -0.37692045  0.01890898 -0.01215887 -0.34047482],0.014559027746020527
236,ELPI.JK,124,31,0.5806451612903226,42,82,[-0.02485154 -0.26863645 -0.26141007 -0.07926279 -1.15151246],-0.6925166263237503
237,ELSA.JK,967,241,0.5643153526970954,377,590,[-0.11799655  0.00561819  0.00271031 -0.01490021 -1.06488796],-0.44253822333737425
238,EMDE.JK,967,241,0.6929460580912863,165,802,[-0.31394323  0.02835391  0.01662222  0.01645272 -0.07591297],-1.5867512146521843
239,ENAK.JK,218,54,0.5555555555555556,94,124,[ 0.09660084 -0.13959793  0.09824174  0.00429787  1.99022649],-0.30297405650379594
240,ENRG.JK,967,241,0.5809128630705395,292,675,[-0.00840086 -0.00998109 -0.01517912  0.00084317 -0.166113  ],-0.83408496008231
241,ENVY.JK,728,181,1.0,88,640,[-0.13267147  0.55480102  0.30332077  0.22046857  0.71800723],-1.9604424304823158
242,ENZO.JK,493,123,0.8211382113821138,61,432,[-0.02147641  0.1786449   0.17054273 -0.01246216 -0.87717018],-1.9496045244900702
243,EPAC.JK,532,133,1.0,96,436,[-0.14465661  0.02637169 -0.40803266 -0.06307767 -0.72798935],-1.547271202018954
244,EPMT.JK,967,241,0.6224066390041494,275,692,[-0.11763661  0.0098044  -0.04838483 -0.00132401 -0.57444478],-0.9192807459237451
245,ERAA.JK,968,241,0.6058091286307054,399,569,[-0.05867558 -0.0108857  -0.00403964 -0.0122576  -0.90371964],-0.348285922585247
246,ERTX.JK,967,241,0.6307053941908713,309,658,[-0.75279636  0.01798397  0.00291418  0.01937552 -1.90171735],-0.7546073130834792
247,ESIP.JK,654,163,0.7791411042944786,218,436,[-0.33664405  0.01880506  0.01962459  0.00468886 -0.09381979],-0.6923245933877401
248,ESSA.JK,967,241,0.5767634854771784,375,592,[-0.13110009 -0.04205041 -0.00678835  0.00725746 -1.02074795],-0.4542708955617216
249,ESTA.JK,592,147,0.6870748299319728,223,369,[-0.08491581  0.00653376 -0.00234289  0.00109335 -0.64832813],-0.5056118066761084
250,ESTI.JK,967,241,0.8132780082987552,281,686,[-0.05032112 -0.00281309  0.01396693 -0.00501609 -0.57053501],-0.8922482199514612
251,ETWA.JK,967,241,0.6265560165975104,154,813,"[-3.62770713e-01 -4.94934289e-04  5.97671380e-02 -1.12951037e-02
 -1.69415083e+00]",-1.6658216709606244
252,EURO.JK,124,31,0.3225806451612903,68,56,[ 0.13804007  0.51656377  0.08508451  0.04566808 -0.32250914],0.16704053489235393
253,EXCL.JK,967,241,0.5975103734439834,399,568,[-0.2779833  -0.00596634 -0.04681515  0.00242147 -0.42570886],-0.3551888354743006
254,FAPA.JK,436,108,0.6018518518518519,188,248,[-0.02887081 -1.06476298 -0.42730691 -0.01315066 -1.24650573],-0.2724217301670594
255,FAST.JK,968,241,0.7344398340248963,288,680,[-0.27516565 -0.01829281 -0.01756794  0.00377499 -1.16974552],-0.8530167370127713
256,FASW.JK,967,241,0.5809128630705395,186,781,"[ 4.88032672e-11 -6.89886950e-04 -9.38861200e-05  1.17269863e-03
 -1.88505868e-09]",-1.0881546991702957e-06
257,FILM.JK,919,229,0.5283842794759825,368,551,[ 0.59259763 -0.00815722 -0.16339373  0.01166259  0.21570032],-0.40272816774027526
258,FIMP.JK,383,95,0.7157894736842105,118,265,[ 0.01526197  0.12028165  0.01797565  0.05617057 -0.94709504],-0.8167622583368993
259,FIRE.JK,967,241,0.7302904564315352,313,654,[ 0.0639729   0.01680191  0.12883872  0.00241835 -0.36877313],-0.7390314133061336
260,FISH.JK,967,241,0.7759336099585062,135,832,[ 0.37773139  0.00218966  0.01213238 -0.01392945  0.32392186],-1.8350487556815849
261,FITT.JK,743,185,0.654054054054054,239,504,[-0.14781924 -0.0928211  -0.035874    0.00235682 -0.19229391],-0.7544786274665906
262,FLMC.JK,335,83,1.0,81,254,[ 0.08580948  0.03251688  0.08380475 -0.00363041  1.16848867],-1.1450335535144947
263,FMII.JK,967,241,0.7136929460580913,206,761,[-0.3302412   0.05682626 -0.05172254  0.00143617  0.05823666],-1.3184254440341256
264,FOOD.JK,831,207,0.6231884057971014,259,572,[-0.46677113 -0.04553611  0.00414261 -0.0218103   0.06038468],-0.7963775573515653
265,FORU.JK,967,241,0.6639004149377593,232,735,[-0.05340427 -0.01852869  0.00262737 -0.01558217 -1.33742356],-1.1549844069931696
266,FORZ.JK,966,241,1.0,133,833,[ 0.07335009 -0.43180234  0.76271547  0.06246388  0.58033453],-1.8755152533075437
267,FPNI.JK,967,241,0.6390041493775933,344,623,[-0.12261419 -0.00711851  0.0312983  -0.00060043 -0.51827538],-0.5896581958125671
268,FREN.JK,967,241,0.7012448132780082,368,599,"[-3.36345352e-02  6.63795089e-04 -8.32502984e-03  7.68426154e-03
 -8.16241097e-01]",-0.478392042064249
269,FUJI.JK,728,181,0.6519337016574586,279,449,"[-1.56705003e-01 -5.49105011e-02  5.72477158e-02 -2.15618838e-03
 -2.93216724e+00]",-0.47505086318706713
270,FUTR.JK,10,2,0.5,5,5,[ 0.01055778 -0.019851   -0.04065408 -0.0349909  -0.08995226],-0.006081744489872432
271,FWCT.JK,24,6,0.6666666666666666,6,18,"[-5.95236987e-04 -2.05151993e-02  1.55455262e-02 -8.36027737e-01
 -1.16920984e-01]",-1.2865243170685752
272,GAMA.JK,966,241,1.0,39,927,[0. 0. 0. 0. 0.],0.0
273,GDST.JK,967,241,0.6556016597510373,307,660,"[-1.87627172e-01 -1.39847212e-02  2.95524480e-02  1.25266657e-03
 -1.37675172e+00]",-0.768111288350518
274,GDYR.JK,967,241,0.6514522821576764,193,774,[ 0.00173244 -0.02992916  0.13990873 -0.00061784 -0.20755795],-1.3907890316957454
275,GEMA.JK,967,241,0.7302904564315352,224,743,[-0.36246957 -0.06653689  0.00419732  0.00243415 -1.0613423 ],-1.1988847064692334
276,GEMS.JK,968,241,0.6141078838174274,115,853,[0.22405291 0.02148212 0.02348892 0.01467662 1.42820426],-2.003635777443821
277,GGRM.JK,967,241,0.5643153526970954,418,549,[-0.05862047  0.07422803 -0.0344499  -0.00458972 -0.19296021],-0.27170798558232045
278,GGRP.JK,686,171,0.6549707602339181,268,418,[-0.30021526  0.01290479  0.0041825  -0.0094623  -0.82591426],-0.43815326221994283
279,GHON.JK,967,241,0.6721991701244814,289,678,[-0.72803621 -0.00326393 -0.00232726  0.00528002 -1.51778231],-0.8463454428140813
280,GIAA.JK,967,241,0.8796680497925311,253,714,[ 0.07600647  0.00498628 -0.00174488 -0.01289751  0.63483623],-1.0404279971636572
